FID_171204,CVE_EDO,NOM_EDO,CVE_MUN,NOM_MUN,SUP_MUN,SUP_MUN_ZE,REGION,AP
"3890","20",Oaxaca,"20024",Cuyamecalco Villa de Zaragoza,7898.96000000000,77.09241444480,CENTRO-SUR,3B
"3892","20",Oaxaca,"20024",Cuyamecalco Villa de Zaragoza,7898.96000000000,187.21234568400,CENTRO-SUR,"6"
"3897","20",Oaxaca,"20027",ChiquihuitlÃ¡n de Benito JuÃ¡rez,3592.44000000000,1395.34018346000,CENTRO-SUR,"1"
"3898","20",Oaxaca,"20027",ChiquihuitlÃ¡n de Benito JuÃ¡rez,3592.44000000000,511.07477823200,CENTRO-SUR,"2"
"3899","20",Oaxaca,"20027",ChiquihuitlÃ¡n de Benito JuÃ¡rez,3592.44000000000,842.31301103200,CENTRO-SUR,3A
"3900","20",Oaxaca,"20027",ChiquihuitlÃ¡n de Benito JuÃ¡rez,3592.44000000000,21.89589118220,CENTRO-SUR,3B
"3901","20",Oaxaca,"20027",ChiquihuitlÃ¡n de Benito JuÃ¡rez,3592.44000000000,803.94832650400,CENTRO-SUR,4A
"3902","20",Oaxaca,"20027",ChiquihuitlÃ¡n de Benito JuÃ¡rez,3592.44000000000,17.87065024100,CENTRO-SUR,4B
"3910","20",Oaxaca,"20031",TamazulÃ¡pam del EspÃ­ritu Santo,11216.77000000000,3275.77925718000,CENTRO-SUR,"1"
"3911","20",Oaxaca,"20031",TamazulÃ¡pam del EspÃ­ritu Santo,11216.77000000000,917.53472762100,CENTRO-SUR,"2"
"3912","20",Oaxaca,"20031",TamazulÃ¡pam del EspÃ­ritu Santo,11216.77000000000,3153.18299605000,CENTRO-SUR,3A
"3913","20",Oaxaca,"20031",TamazulÃ¡pam del EspÃ­ritu Santo,11216.77000000000,581.57877232200,CENTRO-SUR,3B
"3914","20",Oaxaca,"20031",TamazulÃ¡pam del EspÃ­ritu Santo,11216.77000000000,1969.49562756000,CENTRO-SUR,"6"
"3924","20",Oaxaca,"20036",Guevea de Humboldt,28160.40000000000,5048.37469013000,CENTRO-SUR,"1"
"3925","20",Oaxaca,"20036",Guevea de Humboldt,28160.40000000000,12259.99103930000,CENTRO-SUR,"2"
"3926","20",Oaxaca,"20036",Guevea de Humboldt,28160.40000000000,3529.45813099000,CENTRO-SUR,3A
"3927","20",Oaxaca,"20036",Guevea de Humboldt,28160.40000000000,2327.14684738000,CENTRO-SUR,3B
"3928","20",Oaxaca,"20036",Guevea de Humboldt,28160.40000000000,1.29969383600,CENTRO-SUR,"5"
"3929","20",Oaxaca,"20036",Guevea de Humboldt,28160.40000000000,322.64599727700,CENTRO-SUR,"6"
"3934","20",Oaxaca,"20038",Villa Hidalgo,5905.14000000000,11.28633721190,CENTRO-SUR,"1"
"3935","20",Oaxaca,"20038",Villa Hidalgo,5905.14000000000,0.09790790359,CENTRO-SUR,"2"
"3936","20",Oaxaca,"20038",Villa Hidalgo,5905.14000000000,2374.75001782000,CENTRO-SUR,3A
"3937","20",Oaxaca,"20038",Villa Hidalgo,5905.14000000000,75.64528917120,CENTRO-SUR,3B
"3938","20",Oaxaca,"20038",Villa Hidalgo,5905.14000000000,982.26564175100,CENTRO-SUR,"5"
"3939","20",Oaxaca,"20038",Villa Hidalgo,5905.14000000000,986.30535386300,CENTRO-SUR,"6"
"3944","20",Oaxaca,"20040",Huautepec,4692.16000000000,24.85198552940,CENTRO-SUR,"1"
"3945","20",Oaxaca,"20040",Huautepec,4692.16000000000,23.08374156470,CENTRO-SUR,"2"
"3947","20",Oaxaca,"20040",Huautepec,4692.16000000000,113.30342777400,CENTRO-SUR,4A
"3948","20",Oaxaca,"20040",Huautepec,4692.16000000000,24.21887922750,CENTRO-SUR,4B
"3950","20",Oaxaca,"20041",Huautla de JimÃ©nez,14764.14000000000,78.74043168590,CENTRO-SUR,"1"
"3951","20",Oaxaca,"20041",Huautla de JimÃ©nez,14764.14000000000,124.91403762600,CENTRO-SUR,"2"
"3956","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,5792.61860694000,CENTRO-SUR,"1"
"3957","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,13966.95951090000,CENTRO-SUR,"2"
"3958","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,6095.39446863000,CENTRO-SUR,3A
"3959","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,4152.71300963000,CENTRO-SUR,3B
"3960","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,14867.44552770000,CENTRO-SUR,4A
"3961","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,1348.02111856000,CENTRO-SUR,4B
"3963","20",Oaxaca,"20042",IxtlÃ¡n de JuÃ¡rez,56228.73000000000,2488.84744528000,CENTRO-SUR,"6"
"4012","20",Oaxaca,"20058",MazatlÃ¡n Villa de Flores,18186.08000000000,0.49101821774,CENTRO-SUR,"2"
"4021","20",Oaxaca,"20060",MixistlÃ¡n de la Reforma,6779.06000000000,876.49189894600,CENTRO-SUR,"1"
"4022","20",Oaxaca,"20060",MixistlÃ¡n de la Reforma,6779.06000000000,1185.79222545000,CENTRO-SUR,"2"
"4023","20",Oaxaca,"20060",MixistlÃ¡n de la Reforma,6779.06000000000,784.63242326800,CENTRO-SUR,3A
"4024","20",Oaxaca,"20060",MixistlÃ¡n de la Reforma,6779.06000000000,52.71258795900,CENTRO-SUR,3B
"4025","20",Oaxaca,"20060",MixistlÃ¡n de la Reforma,6779.06000000000,0.02426247716,CENTRO-SUR,"5"
"4026","20",Oaxaca,"20060",MixistlÃ¡n de la Reforma,6779.06000000000,70.10484612440,CENTRO-SUR,"6"
"4028","20",Oaxaca,"20062",Natividad,221.41000000000,14.26741432260,CENTRO-SUR,3A
"4029","20",Oaxaca,"20062",Natividad,221.41000000000,39.83678199360,CENTRO-SUR,3B
"4030","20",Oaxaca,"20062",Natividad,221.41000000000,4.13947813964,CENTRO-SUR,"6"
